target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/436474.c,true,40,3 ,test2/ARC002/1/AC/1571193.c::main ,46345 ,[0 1 ],49426 ,[380 380 380 302 302 ],168,14303,4995,420,8875,7813,249,813,2
test2/ARC002/1/WA/45016246.c,true,40,3 ,test2/ARC002/1/AC/7150.c::main ,35878 ,[1 1 ],50657 ,[2016 2016 2016 186 186 ],381,44868,5656,523,38669,36570,247,1852,2
test2/ARC002/1/WA/45952464.c,true,40,3 ,test2/ARC002/1/AC/736693.c::main ,21507 ,[0 5 ],49291 ,[380 186 380 380 186 186 186 ],129,12135,5133,424,6563,5675,210,678,2
test2/ARC002/1/WA/487779.c,true,40,3 ,test2/ARC002/1/AC/2816382.c::main ,4066 ,[0 1 ],49183 ,[380 380 380 302 302 ],77,14066,5136,402,8515,7783,254,478,2
test2/ARC002/1/WA/5559360.c,true,40,3 ,test2/ARC002/1/AC/4589255.c::main ,13291 ,[0 3 ],51303 ,[380 186 380 186 380 186 186 ],958,16903,5027,442,11418,6745,219,4454,2
test2/ARC002/1/WA/5559364.c,true,40,3 ,test2/ARC002/1/AC/7081.c::main ,44603 ,[0 3 ],49945 ,[381 186 186 ],402,13901,4712,442,8733,6716,214,1803,2
test2/ARC002/1/WA/678411.c,true,40,3 ,test2/ARC002/1/AC/9832.c::main ,45138 ,[0 1 ],49388 ,[380 380 380 186 186 ],128,14261,5158,381,8707,7807,289,611,2
test2/ARC002/1/WA/678414.c,true,40,3 ,test2/ARC002/1/AC/22739.c::main ,11771 ,[0 1 ],49124 ,[302 380 380 380 ],80,13702,4748,397,8544,7789,239,516,2
test2/ARC002/1/WA/678418.c,true,40,3 ,test2/ARC002/1/AC/7639.c::main ,5797 ,[0 1 ],49321 ,[380 380 380 380 380 380 186 186 186 186 ],128,14142,5054,364,8710,7780,230,700,2
test2/ARC002/1/WA/678419.c,true,40,3 ,test2/ARC002/1/AC/959262.c::main ,5547 ,[0 1 ],49273 ,[186 380 380 380 ],84,11753,5013,380,6347,5614,261,472,2
test2/ARC002/1/WA/69343.c,true,40,3 3 ,test2/ARC002/1/AC/90246.c::main test2/ARC002/1/AC/30584125.c::main ,9882 33183 ,[0 1 ][0 2 ],51277 52225 ,[380 380 380 186 186 ][221 380 ],1311,17281,5148,453,11663,5580,505,5578,2
test2/ARC002/1/WA/7034.c,true,40,3 3 3 3 3 ,test2/ARC002/1/AC/9263.c::main test2/ARC002/1/AC/603218.c::main test2/ARC002/1/AC/10201195.c::main test2/ARC002/1/AC/100427.c::main test2/ARC002/1/AC/94174.c::main ,38130 20449 8163 15607 26349 ,[0 0 0 0 ][0 1 ][0 2 ][0 0 ][0 1 ],56059 58437 63579 63779 69584 ,[186 381 ][186 381 ][381 381 381 186 186 ][221 381 ][221 ],6814,56916,4806,488,51521,10039,2353,39129,2
test2/ARC002/1/WA/7108.c,true,40,3 ,test2/ARC002/1/AC/64979.c::main ,26918 ,[0 1 ],49112 ,[380 380 380 186 186 ],48,11613,5013,383,6205,5602,240,363,2
