target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/8038.c,true,40,3 3 2 3 3 3 ,test2/ARC002/1/AC/10201195.c::main test2/ARC002/1/AC/381416.c::main test2/ARC002/1/AC/161418.c::main test2/ARC002/1/AC/76076.c::main test2/ARC002/1/AC/12313391.c::main ,8053 37614 18446744073709551615 22695 1195 11974 ,[0 1 ][0 4 ][0 3 ][0 2 ][0 1 ][0 2 ],50973 54013 18446744073709551615 56969 60333 62406 ,[186 380 ][380 221 221 ][][186 ][380 186 380 186 380 186 186 ][380 ],5053,37390,5025,426,31883,5537,1645,24701,0
test2/ARC002/1/WA/8137.c,true,40,3 ,test2/ARC002/1/AC/212078.c::main ,27219 ,[0 1 ],49817 ,[302 380 380 380 ],327,14262,4972,424,8850,3393,222,5235,0
test2/ARC002/1/WA/82647.c,true,40,3 ,test2/ARC002/1/AC/7151051.c::main ,17571 ,[0 1 1 0 ],49330 ,[302 380 380 380 ],130,14453,5118,402,8916,4455,218,4243,0
test2/ARC002/1/WA/8307.c,true,40,3 ,test2/ARC002/1/AC/99702.c::main ,43819 ,[0 1 0 0 ],50640 ,[380 221 380 186 380 186 186 ],672,15850,4742,418,10671,4443,214,6014,0
test2/ARC002/1/WA/8346.c,false,30,3 2 3 ,test2/ARC002/1/AC/130904.c::main test2/ARC002/1/AC/8283.c::main ,7060 18446744073709551615 28302 ,[1 6 ][0 1 ][1 4 ],50692 18446744073709551615 53703 ,[221 ][][383 186 186 ],10000,118102,4800,631,112507,11234,2835,98438,0
test2/ARC002/1/WA/8348.c,true,40,3 ,test2/ARC002/1/AC/1337564.c::main ,14307 ,[0 1 ],49794 ,[380 380 380 186 186 ],345,11800,4942,408,6433,4464,223,1746,0
test2/ARC002/1/WA/8388.c,true,40,3 ,test2/ARC002/1/AC/736693.c::main ,21240 ,[0 1 ],49218 ,[380 186 380 380 186 186 186 ],100,10713,5017,438,5247,4430,225,592,0
test2/ARC002/1/WA/8399.c,true,40,3 ,test2/ARC002/1/AC/1332763.c::main ,32960 ,[0 1 ],50574 ,[302 380 380 380 ],563,21188,4918,381,15871,13148,253,2470,0
test2/ARC002/1/WA/8528.c,true,40,3 3 3 ,test2/ARC002/1/AC/6882.c::main test2/ARC002/1/AC/7810268.c::main test2/ARC002/1/AC/32486.c::main ,2625 35551 9761 ,[0 2 ][0 1 0 1 ][0 2 ],49517 52377 54532 ,[381 221 380 380 221 186 ][221 381 ][186 380 380 380 ],2266,31561,4792,421,26317,6656,836,18825,0
test2/ARC002/1/WA/8600.c,false,0,3 3 ,test2/ARC002/1/AC/130920.c::main test2/ARC002/1/AC/1590355.c::main ,12451 30846 ,[1 1 ][1 2 ],57978 59231 ,[1356 ][221 ],10000,100727,5479,613,94496,54199,2639,37658,0
test2/ARC002/1/WA/8796.c,false,30,3 ,test2/ARC002/1/AC/22147693.c::main ,42945 ,[0 0 ],55127 ,[221 861 861 221 861 186 861 186 186 ],10000,86865,5016,379,81391,2090,5126,74175,0
test2/ARC002/1/WA/8856.c,true,40,1 2 ,test2/ARC002/1/AC/24805.c::main ,45317 18446744073709551615 ,[0 2 ][0 1 ],56543 18446744073709551615 ,[381 381 381 186 186 ][],3636,38638,4828,461,33308,2353,1151,29804,0
test2/ARC002/1/WA/936742.c,true,40,3 ,test2/ARC002/1/AC/32973.c::main ,9855 ,[0 1 ],49517 ,[380 186 380 186 380 186 186 ],181,12257,4906,385,6951,2266,243,4442,0
test2/ARC002/1/WA/936783.c,true,40,3 ,test2/ARC002/1/AC/64979.c::main ,29397 ,[0 1 ],50962 ,[380 380 380 186 186 ],723,15814,5165,398,10229,4446,235,5548,0
test2/ARC002/1/WA/94172.c,true,40,3 ,test2/ARC002/1/AC/82646.c::main ,30399 ,[0 2 ],49404 ,[186 ],148,14742,5181,405,9126,7714,236,1176,0
test2/ARC002/1/WA/94173.c,true,40,3 ,test2/ARC002/1/AC/959262.c::main ,2893 ,[0 1 ],51492 ,[186 380 380 380 ],906,17443,5052,406,11969,7696,225,4048,0
test2/ARC002/1/WA/959260.c,true,40,3 ,test2/ARC002/1/AC/2170375.c::main ,10548 ,[0 1 ],49185 ,[380 380 380 186 186 ],94,7516,5041,400,2062,1113,224,725,0
