target,is_repaired,score,tags,used_function_names,used_statement_ids,operated_positions,created_statement_id,used_identifier_ids,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,repair_initialization_time,repair_rep_generation_time,repair_evalution_time,tag
test2/ARC002/1/WA/21460993.c,true,40,3 ,test2/ARC002/1/AC/6882.c::main ,4952 ,[0 5 ],50438 ,[380 186 380 380 186 186 ],602,15265,4904,440,9897,6750,213,2934,1
test2/ARC002/1/WA/21461011.c,true,40,3 ,test2/ARC002/1/AC/10201195.c::main ,8611 ,[0 5 ],49440 ,[381 381 381 186 186 ],187,13368,4940,425,7985,6647,212,1126,1
test2/ARC002/1/WA/21461042.c,true,40,3 3 ,test2/ARC002/1/AC/22147693.c::main test2/ARC002/1/AC/32973.c::main ,41138 9491 ,[0 2 ][0 1 0 0 ],50885 52057 ,[221 380 380 186 380 186 380 186 186 ][221 ],1116,23395,5086,364,17927,7734,520,9673,1
test2/ARC002/1/WA/21461058.c,true,40,3 ,test2/ARC002/1/AC/47260.c::main ,6521 ,[0 1 ],51032 ,[380 380 380 186 186 ],729,20481,5128,364,14967,7719,232,7016,1
test2/ARC002/1/WA/21866.c,true,40,3 ,test2/ARC002/1/AC/90254.c::main ,35522 ,[0 1 ],49330 ,[380 380 380 186 186 ],111,17875,4955,375,12529,7769,248,4512,1
test2/ARC002/1/WA/22146304.c,true,40,3 ,test2/ARC002/1/AC/594629.c::main ,9998 ,[0 1 ],49990 ,[380 380 186 380 186 186 186 ],347,19326,4951,424,13934,7708,242,5984,1
test2/ARC002/1/WA/22146565.c,true,40,3 ,test2/ARC002/1/AC/4170645.c::main ,39778 ,[0 0 0 0 ],49609 ,[380 380 186 380 186 186 186 ],222,15681,4875,441,10346,8772,256,1318,1
test2/ARC002/1/WA/22147650.c,true,40,3 ,test2/ARC002/1/AC/3519469.c::main ,13878 ,[0 0 0 0 ],49151 ,[380 186 380 186 380 186 186 ],76,15305,5299,434,9561,8810,275,476,1
test2/ARC002/1/WA/2253326.c,true,40,3 ,test2/ARC002/1/AC/22308669.c::main ,5650 ,[0 1 0 0 ],49608 ,[1532 186 1532 186 1532 186 186 ],45,14826,5356,392,9067,8491,221,355,1
test2/ARC002/1/WA/25075.c,true,40,3 ,test2/ARC002/1/AC/7758.c::main ,22918 ,[0 3 1 0 ],50326 ,[380 380 186 380 186 186 ],523,13817,4980,437,8382,5582,203,2597,1
test2/ARC002/1/WA/25076.c,true,40,3 ,test2/ARC002/1/AC/151313.c::main ,19247 ,[0 3 ],49795 ,[380 186 380 186 380 186 186 ],351,15916,5157,419,10324,5561,204,4559,1
test2/ARC002/1/WA/25078.c,true,40,3 ,test2/ARC002/1/AC/90254.c::main ,34730 ,[0 3 ],49603 ,[380 380 380 186 186 ],276,12312,4805,431,7061,5578,218,1265,1
test2/ARC002/1/WA/2564337.c,true,40,3 ,test2/ARC002/1/AC/7193.c::main ,44811 ,[0 1 1 0 ],49128 ,[186 ],65,9430,5007,424,3986,3351,233,402,1
test2/ARC002/1/WA/2564581.c,true,40,3 3 3 ,test2/ARC002/1/AC/26023684.c::main test2/ARC002/1/AC/22147693.c::main test2/ARC002/1/AC/1989411.c::gcd ,20387 42184 29452 ,[0 1 ][0 0 ][0 1 ],51838 52898 54940 ,[302 ][221 380 380 186 380 186 380 186 186 ][380 380 ],2085,24107,4712,411,18959,3361,799,14799,1
test2/ARC002/1/WA/2564797.c,true,40,3 ,test2/ARC002/1/AC/22147693.c::main ,42790 ,[0 0 ],50250 ,[221 380 380 186 380 186 380 186 186 ],453,14313,5057,406,8835,3368,254,5213,1
test2/ARC002/1/WA/25654900.c,true,40,2 ,,18446744073709551615 ,[5 0 ],18446744073709551615 ,[],56,64189,5596,910,57666,57046,238,382,1
test2/ARC002/1/WA/25723.c,true,40,3 ,test2/ARC002/1/AC/7286.c::main ,5604 ,[0 1 ],49519 ,[380 380 186 380 186 186 ],214,9073,5137,420,3503,2260,229,1014,1
test2/ARC002/1/WA/25724.c,true,40,3 ,test2/ARC002/1/AC/62497.c::main ,17766 ,[0 1 ],49233 ,[380 380 380 186 186 ],107,8542,5045,400,3085,2263,247,575,1
test2/ARC002/1/WA/25725.c,true,40,3 ,test2/ARC002/1/AC/99702.c::main ,44129 ,[0 1 ],49200 ,[380 186 380 186 380 186 186 ],94,8734,5027,397,3295,2251,228,816,1
test2/ARC002/1/WA/25926.c,true,40,3 ,test2/ARC002/1/AC/3673534.c::main ,3005 ,[0 1 ],49783 ,[380 380 186 186 380 186 186 ],276,14173,4994,386,8779,3370,223,5186,1
test2/ARC002/1/WA/25929.c,true,40,3 ,test2/ARC002/1/AC/10201195.c::main ,7194 ,[0 1 ],49443 ,[380 380 380 186 186 ],168,14067,4829,437,8790,7704,239,847,1
test2/ARC002/1/WA/25930.c,true,40,3 ,test2/ARC002/1/AC/69249.c::main ,5268 ,[0 1 ],49119 ,[380 186 380 186 380 186 186 ],51,13635,4878,434,8309,7720,230,359,1
test2/ARC002/1/WA/25932.c,true,40,3 ,test2/ARC002/1/AC/678421.c::main ,17827 ,[0 1 ],49171 ,[380 186 380 380 186 186 ],44,13771,4978,413,8366,7734,267,365,1
test2/ARC002/1/WA/25933.c,true,40,3 ,test2/ARC002/1/AC/3382284.c::main ,28482 ,[0 1 ],49242 ,[380 302 380 302 380 302 302 ],98,14039,5004,432,8588,7767,245,576,1
test2/ARC002/1/WA/25934.c,true,40,3 ,test2/ARC002/1/AC/3519469.c::main ,13498 ,[0 1 ],49572 ,[380 186 380 186 380 186 186 ],226,14472,4994,433,9031,7735,239,1057,1
test2/ARC002/1/WA/25935.c,true,40,3 ,test2/ARC002/1/AC/3382284.c::main ,29251 ,[0 1 1 0 ],49166 ,[380 302 380 302 302 ],70,14763,4846,433,9470,8787,227,456,1
test2/ARC002/1/WA/25936.c,true,40,3 ,test2/ARC002/1/AC/25838.c::main ,19361 ,[0 1 ],49160 ,[380 186 380 186 380 186 186 ],61,15055,5102,441,9497,8831,243,423,1
test2/ARC002/1/WA/26214.c,true,40,3 ,test2/ARC002/1/AC/21910.c::main ,24052 ,[0 1 1 0 1 0 1 0 ],49152 ,[380 186 186 ],63,15860,4848,438,10558,9877,252,429,1
test2/ARC002/1/WA/26219.c,true,40,3 ,test2/ARC002/1/AC/4589255.c::main ,13291 ,[0 1 ],49120 ,[380 186 380 186 380 186 186 ],33,29190,5162,483,23527,22910,281,336,1
test2/ARC002/1/WA/26220.c,true,40,3 ,test2/ARC002/1/AC/171037.c::main ,12766 ,[0 1 0 0 ],49259 ,[380 380 186 186 186 ],36,28965,4976,482,23490,22869,281,340,1
test2/ARC002/1/WA/26221.c,true,40,3 ,test2/ARC002/1/AC/32329290.c::main ,13290 ,[0 1 ],49165 ,[380 186 380 186 380 186 186 ],58,27910,4805,498,22587,21919,270,398,1
test2/ARC002/1/WA/26225.c,true,40,3 ,test2/ARC002/1/AC/603218.c::main ,20641 ,[0 1 0 0 ],49288 ,[380 186 380 186 380 186 186 ],117,28382,5118,498,22748,21810,287,651,1
test2/ARC002/1/WA/26226.c,true,40,3 ,test2/ARC002/1/AC/32486.c::main ,8914 ,[0 1 ],49232 ,[186 380 380 380 ],71,31105,4812,519,25755,25004,287,464,1
test2/ARC002/1/WA/26227.c,true,40,3 ,test2/ARC002/1/AC/38731751.c::main ,17814 ,[0 1 0 0 ],49307 ,[380 380 186 186 186 ],118,30450,4892,482,25060,24132,289,639,1
test2/ARC002/1/WA/26231.c,true,40,3 ,test2/ARC002/1/AC/134138.c::main ,17532 ,[0 1 ],49272 ,[380 186 380 380 186 186 ],81,32461,4901,490,27051,26304,276,471,1
test2/ARC002/1/WA/2789256.c,true,40,3 ,test2/ARC002/1/AC/4077357.c::main ,14255 ,[0 1 ],49808 ,[380 380 380 186 186 ],335,13261,4752,408,8086,3373,206,4507,1
test2/ARC002/1/WA/2789264.c,true,40,3 ,test2/ARC002/1/AC/69249.c::main ,5128 ,[0 1 ],49460 ,[380 186 380 186 380 186 186 ],204,12504,5103,392,6994,3380,210,3404,1
test2/ARC002/1/WA/2789281.c,true,40,3 ,test2/ARC002/1/AC/161418.c::main ,22340 ,[0 1 ],52042 ,[380 380 380 186 186 186 186 ],1169,20108,4887,400,14801,5571,521,8709,1
test2/ARC002/1/WA/2789295.c,true,40,3 ,test2/ARC002/1/AC/7618.c::main ,30991 ,[0 1 ],49248 ,[380 380 380 380 380 380 186 186 186 186 ],101,8904,5054,389,3446,2268,240,938,1
test2/ARC002/1/WA/2789313.c,true,40,3 ,test2/ARC002/1/AC/30584125.c::main ,32828 ,[0 1 ],49104 ,[380 186 380 186 380 186 186 ],48,8338,5141,384,2801,2254,218,329,1
test2/ARC002/1/WA/2816366.c,true,40,3 3 3 ,test2/ARC002/1/AC/9832.c::main test2/ARC002/1/AC/15849865.c::main test2/ARC002/1/AC/2253328.c::main ,45346 14664 40233 ,[0 1 ][0 2 ][0 3 ],62017 67116 70689 ,[380 380 380 186 186 ][221 ][221 ],7994,69057,4938,412,63624,3379,2385,57860,1
test2/ARC002/1/WA/2816375.c,true,40,3 ,test2/ARC002/1/AC/487785.c::main ,6654 ,[0 1 ],49165 ,[380 186 380 186 380 186 186 ],60,14062,5263,397,8390,7738,271,381,1
test2/ARC002/1/WA/3100956.c,true,40,3 ,test2/ARC002/1/AC/32340.c::main ,31686 ,[0 1 ],49145 ,[380 380 380 186 186 ],64,9402,4966,430,3993,3354,226,413,1
test2/ARC002/1/WA/3101127.c,true,40,3 ,test2/ARC002/1/AC/68401.c::main ,31499 ,[0 1 ],49178 ,[380 380 380 186 186 ],82,9427,4936,400,4078,3380,221,477,1
test2/ARC002/1/WA/32235.c,true,40,3 ,test2/ARC002/1/AC/1353614.c::main ,39514 ,[0 2 ],49121 ,[186 ],49,7169,5021,428,1710,1157,234,319,1
test2/ARC002/1/WA/32445903.c,true,40,3 ,test2/ARC002/1/AC/7776.c::main ,13486 ,[0 5 ],49266 ,[381 302 381 302 381 302 302 ],124,13279,4982,438,7848,6677,214,957,1
test2/ARC002/1/WA/32478.c,true,40,3 ,test2/ARC002/1/AC/1569158.c::main ,45913 ,[0 1 ],49097 ,[380 186 380 186 380 186 186 ],46,7098,5038,415,1634,1117,238,279,1
test2/ARC002/1/WA/32482.c,true,40,3 ,test2/ARC002/1/AC/97071.c::main ,22574 ,[0 1 ],49198 ,[380 186 380 186 380 186 186 ],83,7018,4857,417,1731,1109,234,388,1
test2/ARC002/1/WA/35839.c,true,40,3 3 ,test2/ARC002/1/AC/69249.c::main test2/ARC002/1/AC/7081.c::main ,4931 46046 ,[0 6 ][0 5 ],50896 52395 ,[380 221 380 221 380 221 221 ][381 186 186 ],1465,24743,4923,479,19317,6670,549,12098,1
test2/ARC002/1/WA/3673523.c,true,40,3 ,test2/ARC002/1/AC/38731688.c::main ,5492 ,[0 1 ],49287 ,[380 380 380 186 186 186 186 ],111,13921,5010,384,8512,7684,240,588,1
test2/ARC002/1/WA/383248.c,true,40,3 ,test2/ARC002/1/AC/4396228.c::main ,37426 ,[0 1 ],49099 ,[380 380 380 186 186 186 186 ],33,13882,5218,378,8271,7704,241,326,1
test2/ARC002/1/WA/38336197.c,true,40,3 ,test2/ARC002/1/AC/8290.c::main ,5940 ,[0 4 ],49887 ,[383 383 186 383 186 186 186 ],344,14799,4719,432,9634,7883,219,1532,1
test2/ARC002/1/WA/38731041.c,true,40,3 ,test2/ARC002/1/AC/7325.c::main ,21145 ,[0 1 ],49313 ,[380 380 380 186 186 ],138,10626,4768,364,5481,4471,272,738,1
test2/ARC002/1/WA/38731060.c,true,40,3 ,test2/ARC002/1/AC/20267.c::main ,28040 ,[0 1 ],49132 ,[380 380 380 186 186 186 186 ],41,10368,4878,424,5054,4453,239,362,1
test2/ARC002/1/WA/38731099.c,true,40,3 ,test2/ARC002/1/AC/38731688.c::main ,4539 ,[0 1 ],49306 ,[380 380 380 186 186 186 186 ],147,14558,4916,421,9203,4453,228,4522,1
test2/ARC002/1/WA/38731110.c,true,40,3 ,test2/ARC002/1/AC/17927.c::main ,14867 ,[0 1 ],49084 ,[380 302 380 302 380 302 302 ],37,10272,4873,406,4979,4441,224,314,1
test2/ARC002/1/WA/38731117.c,true,40,3 ,test2/ARC002/1/AC/4077357.c::main ,13664 ,[0 1 ],49378 ,[380 380 380 186 186 ],157,10951,5054,424,5459,4449,232,778,1
test2/ARC002/1/WA/38731139.c,true,40,3 ,test2/ARC002/1/AC/1571193.c::main ,45851 ,[0 1 ],49112 ,[380 380 380 302 302 ],54,10391,4935,425,5018,4431,222,365,1
test2/ARC002/1/WA/38731304.c,true,40,3 ,test2/ARC002/1/AC/1989411.c::main ,28375 ,[0 1 ],49220 ,[380 380 380 186 186 ],111,10656,5005,372,5266,4455,242,569,1
test2/ARC002/1/WA/38731327.c,true,40,3 ,test2/ARC002/1/AC/487386.c::main ,45227 ,[0 1 ],49189 ,[380 186 380 186 380 186 186 ],87,10797,5187,395,5202,4468,239,495,1
test2/ARC002/1/WA/38731340.c,true,40,3 ,test2/ARC002/1/AC/7618.c::main ,29046 ,[0 1 ],49123 ,[380 380 380 380 380 380 186 186 186 186 ],34,10196,4796,372,5015,4440,245,330,1
test2/ARC002/1/WA/38731386.c,true,40,3 ,test2/ARC002/1/AC/40898.c::main ,24426 ,[0 1 ],49691 ,[380 302 380 302 380 302 302 ],293,11535,5106,425,5982,4449,212,1321,1
test2/ARC002/1/WA/38731510.c,true,40,3 ,test2/ARC002/1/AC/32329290.c::main ,13248 ,[0 1 ],49228 ,[380 186 380 186 380 186 186 ],101,10457,4776,434,5236,4433,223,580,1
test2/ARC002/1/WA/38731513.c,true,40,3 ,test2/ARC002/1/AC/20269.c::main ,24367 ,[0 1 ],49254 ,[380 302 380 302 380 302 302 ],102,10523,4836,419,5255,4454,229,572,1
test2/ARC002/1/WA/38731629.c,true,40,3 ,test2/ARC002/1/AC/16164.c::main ,29682 ,[0 1 ],49173 ,[380 380 380 186 186 186 186 ],68,17777,5014,419,12328,7730,267,4331,1
test2/ARC002/1/WA/38731706.c,true,40,3 ,test2/ARC002/1/AC/7240.c::main ,10637 ,[0 1 ],49131 ,[380 186 380 380 186 186 186 ],56,10343,4875,368,5087,4461,235,391,1
test2/ARC002/1/WA/40897.c,true,40,3 ,test2/ARC002/1/AC/62497.c::main ,17757 ,[0 2 ],49979 ,[381 381 381 186 186 ],440,12106,5028,479,6585,4476,207,1902,1
test2/ARC002/1/WA/436474.c,true,40,3 ,test2/ARC002/1/AC/7447.c::main ,43588 ,[0 1 ],49190 ,[380 186 380 186 380 186 186 ],51,13810,5033,397,8367,7752,257,358,1
test2/ARC002/1/WA/45016246.c,true,40,3 ,test2/ARC002/1/AC/100427.c::main ,16014 ,[1 1 ],51097 ,[2016 2016 2016 186 186 ],545,45764,5514,514,39714,36669,240,2805,1
test2/ARC002/1/WA/45952464.c,true,40,3 ,test2/ARC002/1/AC/15849865.c::main ,13907 ,[0 5 ],50180 ,[380 186 380 186 380 186 186 ],467,13598,5085,433,8059,5598,229,2232,1
test2/ARC002/1/WA/487779.c,true,40,3 ,test2/ARC002/1/AC/3382284.c::main ,30405 ,[0 1 ],49085 ,[380 302 380 302 380 302 302 ],32,13478,4757,397,8310,7739,262,309,1
test2/ARC002/1/WA/5559360.c,true,40,3 ,test2/ARC002/1/AC/407245.c::main ,5659 ,[0 3 ],50762 ,[186 380 380 380 ],775,17788,4933,438,12397,6677,195,5525,1
test2/ARC002/1/WA/5559364.c,true,40,3 ,test2/ARC002/1/AC/22308669.c::main ,4202 ,[0 3 ],50661 ,[380 186 380 186 380 186 186 ],731,16867,4740,401,11692,6666,198,4828,1
test2/ARC002/1/WA/678411.c,true,40,3 ,test2/ARC002/1/AC/82648.c::main ,35903 ,[0 1 1 0 ],49228 ,[380 186 380 186 380 186 186 ],91,13980,5085,383,8499,7729,242,528,1
test2/ARC002/1/WA/678414.c,true,40,3 ,test2/ARC002/1/AC/17927.c::main ,13099 ,[0 1 1 0 ],49478 ,[380 302 380 302 380 302 302 ],193,14513,4834,384,9267,7706,239,1322,1
test2/ARC002/1/WA/678418.c,true,40,3 ,test2/ARC002/1/AC/7330.c::main ,19112 ,[0 1 1 0 ],49316 ,[380 380 380 186 186 ],111,17924,5107,334,12460,7741,254,4465,1
test2/ARC002/1/WA/678419.c,true,40,3 ,test2/ARC002/1/AC/77130.c::main ,496 ,[0 1 1 0 0 0 ],49256 ,[380 302 380 302 380 302 302 ],123,11847,5008,389,6436,5554,235,647,1
test2/ARC002/1/WA/69343.c,true,40,1 ,test2/ARC002/1/AC/7776.c::main ,12737 ,[0 1 ],53700 ,[380 380 ],1849,22648,4980,430,17207,5575,498,11134,1
test2/ARC002/1/WA/7034.c,true,40,3 2 3 3 ,test2/ARC002/1/AC/12191966.c::main test2/ARC002/1/AC/64979.c::main test2/ARC002/1/AC/7504.c::main ,12457 18446744073709551615 26444 15365 ,[0 0 ][0 2 ][0 1 0 0 ][0 0 ],50068 18446744073709551615 55517 60745 ,[186 ][][381 381 381 186 186 ][221 381 ],3930,43306,4790,427,38046,9978,1362,26706,1
test2/ARC002/1/WA/7108.c,true,40,3 ,test2/ARC002/1/AC/8283.c::main ,28206 ,[0 1 ],49139 ,[380 186 380 380 186 186 186 ],55,11592,5014,376,6188,5567,251,370,1
