target,0.isSuccess,0.created,0.totalTime,0.repairTime,1.isSuccess,1.created,1.totalTime,1.repairTime,2.isSuccess,2.created,2.totalTime,2.repairTime,3.isSuccess,3.created,3.totalTime,3.repairTime,4.isSuccess,4.created,4.totalTime,4.repairTime,
test/ABC272/A/WA/35469736.c,false,10000,202941,202665,true,1582,73512,41031,true,1947,83845,44474,true,185,60579,22697,true,6747,176122,135565,
test/ABC272/A/WA/35469736.c,false,10000,191366,191122,true,2239,85935,53343,true,4640,136357,95233,true,3318,111373,68709,true,5291,149551,107867,
test/ABC272/A/WA/35469736.c,false,10000,201887,201631,true,908,60324,27778,true,2438,94429,55622,true,582,61925,23856,true,207,62474,24415,
test/ABC272/A/WA/35469736.c,false,10000,202963,202717,true,1207,68214,35041,true,1303,81417,40839,true,909,65378,27311,false,10000,238508,200263,
test/ABC272/A/WA/35469736.c,false,10000,200063,199821,true,34,48563,17155,true,2367,89555,52351,true,576,60772,24573,true,970,64289,27512,
