target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC268/A/AC/34737629.c::main,110,67790,22364,8542,36747,1
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC271/A/AC/35277402.c::main,1000,55731,22022,8048,25521,1
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC269/A/AC/35148163.c::main,1000,54985,22261,8323,24249,1
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC271/A/AC/35284976.c::main,1000,71451,22347,8369,40593,1
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34203519.c::main,1000,143813,22256,8533,112865,1
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC265/A/AC/34884076.c::main,1000,72071,22108,8576,41255,1
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC272/A/AC/35467992.c::main,1000,120912,22009,8475,90259,1
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC271/A/AC/35420077.c::main,1000,72776,22151,8421,41879,1
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC265/A/AC/34202256.c::main,1000,72509,22535,8056,41791,1
test/ABC265/A/WA/34292112.c,0.1,false,test/ABC270/A/AC/35113302.c::main,1000,74731,22248,8398,43879,1
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC271/A/AC/35285960.c::main,1000,77313,22343,8804,46015,1
test/ABC265/A/WA/35416554.c,0.1,false,test/ABC265/A/AC/34203748.c::main,1000,77808,22353,8598,46673,1
test/ABC266/A/WA/34387647.c,0.1,true,test/ABC266/A/AC/34479155.c::main,931,63279,22674,8225,32157,1
test/ABC266/A/WA/34388373.c,0.1,false,test/ABC267/A/AC/34537248.c::main,1000,69883,22330,8255,38994,1
test/ABC266/A/WA/34389174.c,0.1,false,test/ABC266/A/AC/35405128.c::main,1000,63221,22313,8136,32581,1
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC272/A/AC/35471823.c::main,1000,71745,22281,8709,40594,1
test/ABC266/A/WA/34515128.c,0.1,false,test/ABC266/A/AC/34374668.c::main,1000,80625,22235,8374,49820,1
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC266/A/AC/34378821.c::main,1000,54213,22798,8000,23266,1
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC270/A/AC/35176011.c::main,1000,51796,22561,8094,21007,1
test/ABC266/A/WA/34520659.c,0.1,false,test/ABC270/A/AC/35175761.c::main,1000,51730,21901,8165,21533,1
test/ABC266/A/WA/34683285.c,0.1,false,test/ABC267/A/AC/34537248.c::main,1000,63234,22799,8169,32135,1
test/ABC266/A/WA/34884528.c,0.1,false,test/ABC270/A/AC/35226755.c::main,1000,71244,22527,8392,40159,1
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC266/A/AC/34698286.c::main,1000,126177,22895,8613,94495,1
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC268/A/AC/34740209.c::main,1000,63562,21910,8120,33384,1
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC270/A/AC/35176787.c::main,1000,134647,22134,8290,104094,1
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC269/A/AC/34959009.c::main,183,101919,22438,8556,70769,1
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC267/A/AC/35004028.c::main,1000,148114,22152,8701,117096,1
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC271/A/AC/35284076.c::print16,1000,113014,22428,9396,81001,1
test/ABC267/A/WA/34565403.c,0.1,false,test/ABC267/A/AC/34535545.c::main,1000,123438,22147,8047,93095,1
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/35013996.c::main,110,112221,22186,8437,81448,1
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC267/A/AC/34535990.c::main,1000,138394,21632,8644,107978,1
test/ABC267/A/WA/34683954.c,0.1,false,test/ABC270/A/AC/35176787.c::main,1000,152554,22226,8378,121751,1
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC267/A/AC/34535990.c::main,1000,104074,22205,8299,73439,1
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC267/A/AC/34661016.c::main,287,81760,22268,8542,50807,1
test/ABC267/A/WA/35033785.c,0.1,false,test/ABC270/A/AC/35115224.c::main,1000,169778,22029,8802,138814,1
test/ABC267/A/WA/35531401.c,0.1,true,test/ABC267/A/AC/35463333.c::main,124,101842,22103,8717,70853,1
test/ABC268/A/WA/34733903.c,0.1,false,test/ABC270/A/AC/35122661.c::main,1000,158744,22448,8559,127558,1
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC269/A/AC/34923958.c::main,1000,64096,22255,8593,33070,1
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC270/A/AC/35158117.c::main,1000,112039,22392,8420,81063,1
test/ABC268/A/WA/34751176.c,0.1,false,test/ABC270/A/AC/35399213.c::main,1000,109917,23318,8417,78043,1
test/ABC268/A/WA/34751535.c,0.1,false,,1000,107713,21755,8543,77269,1
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC265/A/AC/34600237.c::main,1000,138909,22180,8550,108018,1
test/ABC268/A/WA/34852790.c,0.1,false,test/ABC267/A/AC/34535545.c::main,1000,100127,22392,8396,69144,1
test/ABC268/A/WA/34989492.c,0.1,false,test/ABC268/A/AC/34859574.c::main,1000,100657,22377,8361,69761,1
test/ABC268/A/WA/35403545.c,0.1,false,test/ABC270/A/AC/35380208.c::main,1000,87449,22421,8452,56403,1
test/ABC268/A/WA/35585114.c,0.1,false,test/ABC265/A/AC/35061259.c::main,1000,111904,21749,8626,81384,1
test/ABC268/A/WA/35585128.c,0.1,false,test/ABC265/A/AC/34239656.c::main,1000,100021,21970,8499,69405,1
test/ABC268/A/WA/35585228.c,0.1,false,test/ABC270/A/AC/35176787.c::main,1000,111582,22505,8586,80192,1
test/ABC269/A/WA/34922833.c,0.1,true,test/ABC269/A/AC/35426980.c::main,54,43491,21905,8217,13243,1
test/ABC269/A/WA/34927044.c,0.1,false,test/ABC272/A/AC/35470106.c::main,1000,48810,22420,8017,18243,1
test/ABC269/A/WA/34929225.c,0.1,false,test/ABC267/A/AC/34537248.c::main,1000,47505,21948,8133,17283,1
test/ABC269/A/WA/34946811.c,0.1,false,test/ABC270/A/AC/35129661.c::main,1000,45908,22362,8279,15118,1
test/ABC269/A/WA/35045796.c,0.1,false,test/ABC265/A/AC/34870025.c::main,1000,50469,22167,8198,19959,1
test/ABC269/A/WA/35062760.c,0.1,false,test/ABC271/A/AC/35298212.c::main,1000,51524,22196,7944,21258,1
test/ABC269/A/WA/35062823.c,0.1,true,test/ABC269/A/AC/34922185.c::main,662,50788,22111,8133,20403,1
test/ABC269/A/WA/35063446.c,0.1,true,test/ABC269/A/AC/34973414.c::main,154,43938,21892,8079,13838,1
test/ABC269/A/WA/35064636.c,0.1,false,test/ABC271/A/AC/35420077.c::main,1000,49244,22269,7920,18917,1
test/ABC269/A/WA/35242382.c,0.1,true,test/ABC265/A/AC/34224647.c::main,42,44194,22418,8411,13193,1
test/ABC269/A/WA/35242390.c,0.1,true,test/ABC270/A/AC/35176787.c::main,37,44300,22249,8136,13728,1
test/ABC269/A/WA/35356573.c,0.1,false,test/ABC271/A/AC/35396844.c::main,1000,52657,22627,7812,22090,1
test/ABC270/A/WA/35094867.c,0.1,true,test/ABC268/A/AC/34756292.c::main,174,89076,21932,8291,58723,1
test/ABC270/A/WA/35096720.c,0.1,false,test/ABC265/A/AC/34231450.c::main,1000,95362,22142,8291,64790,1
test/ABC270/A/WA/35098023.c,0.1,true,test/ABC272/A/AC/35479310.c::main,803,118037,22243,8413,87204,1
test/ABC270/A/WA/35103589.c,0.1,false,test/ABC265/A/AC/34275800.c::main,1000,82689,22179,8860,51493,1
test/ABC270/A/WA/35110132.c,0.1,false,test/ABC269/A/AC/35045927.c::main,1000,104561,21835,9180,73399,1
test/ABC270/A/WA/35147761.c,0.1,false,test/ABC272/A/AC/35469261.c::main,1000,163794,22632,8213,132800,1
test/ABC270/A/WA/35193667.c,0.1,false,test/ABC267/A/AC/34535328.c::main,1000,98238,22361,8756,66927,1
test/ABC270/A/WA/35197374.c,0.1,false,test/ABC270/A/AC/35146425.c::main,1000,102981,22311,8230,72295,1
test/ABC270/A/WA/35197533.c,0.1,false,test/ABC268/A/AC/34730499.c::main,1000,102108,22541,8662,70727,1
test/ABC270/A/WA/35391515.c,0.1,false,test/ABC265/A/AC/34861406.c::main,1000,99073,22247,8851,67828,1
test/ABC270/A/WA/35391619.c,0.1,false,test/ABC268/A/AC/34735982.c::main,1000,99672,22024,8911,68578,1
test/ABC270/A/WA/35391719.c,0.1,false,test/ABC269/A/AC/35063683.c::main,1000,121865,22332,8674,90720,1
test/ABC271/A/WA/35281322.c,0.1,true,test/ABC271/A/AC/35271629.c::main,982,117195,22484,8948,85588,1
test/ABC271/A/WA/35283368.c,0.1,true,test/ABC271/A/AC/35273138.c::main,908,99352,22069,8418,68722,1
test/ABC271/A/WA/35283446.c,0.1,false,test/ABC268/A/AC/34730499.c::main,1000,80635,22472,8652,49364,1
test/ABC271/A/WA/35284163.c,0.1,false,test/ABC268/A/AC/34812138.c::main,1000,80546,21951,8802,49607,1
test/ABC271/A/WA/35286559.c,0.1,false,test/ABC267/A/AC/34537275.c::main,1000,104237,22640,8625,72831,1
test/ABC271/A/WA/35293994.c,0.1,false,test/ABC271/A/AC/35305973.c::main,1000,69167,22084,8637,38270,1
test/ABC271/A/WA/35298251.c,0.1,false,test/ABC268/A/AC/34799093.c::main,1000,79993,22298,8513,49038,1
test/ABC271/A/WA/35299447.c,0.1,false,test/ABC269/A/AC/34937229.c::main,1000,81183,22246,8726,49969,1
test/ABC271/A/WA/35307523.c,0.1,true,test/ABC265/A/AC/34466874.c::main,42,67609,22296,8890,36294,1
test/ABC271/A/WA/35322747.c,0.1,false,test/ABC271/A/AC/35581631.c::main,1000,87992,22625,8762,56369,1
test/ABC271/A/WA/35333619.c,0.1,false,test/ABC268/A/AC/34735636.c::main,1000,100661,22117,8733,69608,1
test/ABC271/A/WA/35376049.c,0.1,false,test/ABC271/A/AC/35282046.c::main,1000,195396,22595,8941,163671,1
test/ABC272/A/WA/35469736.c,0.1,false,test/ABC265/A/AC/34845384.c::main,1000,61063,21997,8469,30468,1
test/ABC272/A/WA/35474232.c,0.1,false,test/ABC265/A/AC/34278471.c::main,1000,74967,22461,7941,44435,1
test/ABC272/A/WA/35476308.c,0.1,true,test/ABC268/A/AC/34732752.c::main,350,95099,22303,8395,64261,1
test/ABC272/A/WA/35476825.c,0.1,false,test/ABC270/A/AC/35457664.c::main,1000,84661,22156,8339,54003,1
test/ABC272/A/WA/35478511.c,0.1,false,test/ABC270/A/AC/35399213.c::main,1000,63625,22150,7925,33401,1
test/ABC272/A/WA/35482319.c,0.1,false,test/ABC265/A/AC/34703927.c::main,1000,90485,22247,8850,59217,1
test/ABC272/A/WA/35482755.c,0.1,false,test/ABC265/A/AC/34345650.c::main,1000,90088,22235,8718,58996,1
test/ABC272/A/WA/35484712.c,0.1,true,test/ABC268/A/AC/34742101.c::main,1000,98695,22091,8390,68074,1
test/ABC272/A/WA/35485772.c,0.1,false,test/ABC271/A/AC/35581631.c::main,1000,92118,22178,8818,60930,1
test/ABC272/A/WA/35487654.c,0.1,false,test/ABC272/A/AC/35484732.c::main,1000,64403,22540,8489,33235,1
test/ABC272/A/WA/35520784.c,0.1,false,test/ABC271/A/AC/35280073.c::main,1000,73345,22099,8247,42829,1
test/ABC272/A/WA/35520843.c,0.1,false,test/ABC270/A/AC/35129661.c::main,1000,71025,22392,8350,40158,1
