target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC269/A/AC/34966150.c::main,1000,79624,21996,8392,49082,2
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35113302.c::main,1000,48846,22366,7990,18286,2
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC268/A/AC/34729169.c::main,1000,49271,22104,8434,18549,2
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC271/A/AC/35285960.c::main,1000,71457,22046,8382,40877,2
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC268/A/AC/34842085.c::main,1000,145844,22186,8549,114905,2
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35119733.c::main,1000,72897,22405,8666,41628,2
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC272/A/AC/35483537.c::main,1000,125969,22272,8488,95051,2
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC270/A/AC/35094196.c::output_array,1000,71738,22043,8291,41255,2
test/ABC265/A/WA/34291691.c,0.1,false,test/ABC267/A/AC/35004028.c::main,1000,72314,21865,8352,41958,2
test/ABC265/A/WA/34292112.c,0.1,true,test/ABC270/A/AC/35092325.c::main,310,68107,22236,8200,37532,2
test/ABC265/A/WA/34845370.c,0.1,false,test/ABC269/A/AC/34940217.c::main,1000,72232,22448,8359,41272,2
test/ABC265/A/WA/35416554.c,0.1,false,test/ABC265/A/AC/34200822.c::main,1000,71901,22350,8414,40969,2
test/ABC266/A/WA/34387647.c,0.1,false,test/ABC266/A/AC/34384365.c::main,1000,63000,22182,8222,32445,2
test/ABC266/A/WA/34388373.c,0.1,false,test/ABC271/A/AC/35280073.c::main,1000,67569,22220,8296,36908,2
test/ABC266/A/WA/34389174.c,0.1,false,test/ABC266/A/AC/34374668.c::main,1000,61513,22062,8312,30940,2
test/ABC266/A/WA/34478981.c,0.1,false,test/ABC265/A/AC/34239656.c::main,1000,70370,22057,8470,39693,2
test/ABC266/A/WA/34515128.c,0.1,false,test/ABC266/A/AC/34436369.c::main,1000,78779,22294,8448,47890,2
test/ABC266/A/WA/34520157.c,0.1,false,test/ABC266/A/AC/34378941.c::main,1000,50100,21956,8227,19769,2
test/ABC266/A/WA/34520595.c,0.1,false,test/ABC270/A/AC/35390933.c::main,1000,50011,22238,8259,19376,2
test/ABC266/A/WA/34520659.c,0.1,false,test/ABC266/A/AC/35175604.c::main,1000,50103,22287,8305,19359,2
test/ABC266/A/WA/34683285.c,0.1,false,test/ABC272/A/AC/35521032.c::main,1000,63832,22601,8425,32509,2
test/ABC266/A/WA/34884528.c,0.1,false,test/ABC270/A/AC/35111191.c::main,1000,70139,22246,8071,39672,2
test/ABC266/A/WA/35327392.c,0.1,false,test/ABC267/A/AC/34628416.c::main,1000,126135,22557,8437,94986,2
test/ABC266/A/WA/35464024.c,0.1,false,test/ABC265/A/AC/34207871.c::main,1000,63733,22238,8371,32987,2
test/ABC267/A/WA/34536872.c,0.1,false,test/ABC267/A/AC/34546242.c::main,1000,134456,22214,8332,103616,2
test/ABC267/A/WA/34541438.c,0.1,true,test/ABC271/A/AC/35280073.c::main,773,103431,22494,8776,72002,2
test/ABC267/A/WA/34542281.c,0.1,false,test/ABC270/A/AC/35129661.c::main,1000,148771,22557,8589,117460,2
test/ABC267/A/WA/34554006.c,0.1,false,test/ABC267/A/AC/34536324.c::main,1000,113341,22674,9522,81012,2
test/ABC267/A/WA/34565403.c,0.1,false,test/ABC270/A/AC/35176787.c::main,1000,124591,22379,8413,93672,2
test/ABC267/A/WA/34584088.c,0.1,true,test/ABC267/A/AC/34799710.c::main,177,112997,22456,8609,81777,2
test/ABC267/A/WA/34640273.c,0.1,false,test/ABC267/A/AC/35187812.c::main,1000,138241,22496,8614,106967,2
test/ABC267/A/WA/34683954.c,0.1,false,test/ABC267/A/AC/34537180.c::main,1000,148126,22319,8610,116972,2
test/ABC267/A/WA/34838928.c,0.1,false,test/ABC267/A/AC/35013996.c::main,1000,104634,22245,8133,74123,2
test/ABC267/A/WA/35017179.c,0.1,true,test/ABC267/A/AC/34628416.c::main,626,82659,22370,8583,51571,2
test/ABC267/A/WA/35033785.c,0.1,true,test/ABC267/A/AC/34608714.c::main,153,161828,22108,8700,130882,2
test/ABC267/A/WA/35531401.c,0.1,false,test/ABC267/A/AC/34799710.c::main,1000,105324,22655,8485,74002,2
test/ABC268/A/WA/34733903.c,0.1,false,test/ABC268/A/AC/34732575.c::main,1000,158545,22523,8678,127189,2
test/ABC268/A/WA/34749049.c,0.1,false,test/ABC269/A/AC/35084634.c::main,1000,63976,22034,8328,33467,2
test/ABC268/A/WA/34750477.c,0.1,false,test/ABC265/A/AC/34205732.c::main,1000,113611,22295,8638,82514,2
test/ABC268/A/WA/34751176.c,0.1,true,test/ABC272/A/AC/35544693.c::main,1000,109748,22201,8834,78537,2
test/ABC268/A/WA/34751535.c,0.1,false,test/ABC266/A/AC/34370146.c::main,1000,110926,22289,8906,79540,2
test/ABC268/A/WA/34809860.c,0.1,false,test/ABC270/A/AC/35385451.c::main,1000,132677,22575,8391,101552,2
test/ABC268/A/WA/34852790.c,0.1,true,test/ABC268/A/AC/34749229.c::main,886,98639,22593,8344,67569,2
test/ABC268/A/WA/34989492.c,0.1,false,test/ABC270/A/AC/35106730.c::main,1000,98921,21920,8548,68325,2
test/ABC268/A/WA/35403545.c,0.1,false,test/ABC272/A/AC/35495834.c::main,1000,83944,22353,8462,52928,2
test/ABC268/A/WA/35585114.c,0.1,false,test/ABC266/A/AC/34381168.c::main,1000,111606,22200,8651,80563,2
test/ABC268/A/WA/35585128.c,0.1,false,test/ABC266/A/AC/34514691.c::main,1000,99739,22060,8346,69166,2
test/ABC268/A/WA/35585228.c,0.1,false,test/ABC270/A/AC/35119733.c::main,1000,110821,22189,8320,80174,2
test/ABC269/A/WA/34922833.c,0.1,true,test/ABC269/A/AC/35084634.c::main,658,45802,21787,8029,15857,2
test/ABC269/A/WA/34927044.c,0.1,false,test/ABC270/A/AC/35176787.c::main,1000,49151,22390,8029,18583,2
test/ABC269/A/WA/34929225.c,0.1,false,test/ABC270/A/AC/35105766.c::main,1000,48261,22299,8108,17713,2
test/ABC269/A/WA/34946811.c,0.1,false,test/ABC270/A/AC/35176787.c::main,1000,46009,22445,8324,15075,2
test/ABC269/A/WA/35045796.c,0.1,false,test/ABC270/A/AC/35112898.c::main,1000,46900,21907,8439,16423,2
test/ABC269/A/WA/35062760.c,0.1,true,test/ABC269/A/AC/34922888.c::main,981,48690,22413,8374,17745,2
test/ABC269/A/WA/35062823.c,0.1,true,test/ABC269/A/AC/34953188.c::main,536,45626,21703,8041,15749,2
test/ABC269/A/WA/35063446.c,0.1,true,test/ABC269/A/AC/35085373.c::main,105,44614,22177,8380,13897,2
test/ABC269/A/WA/35064636.c,0.1,true,test/ABC269/A/AC/35426980.c::main,152,44890,22495,7993,14254,2
test/ABC269/A/WA/35242382.c,0.1,true,test/ABC270/A/AC/35176787.c::main,41,43505,21945,8119,13312,2
test/ABC269/A/WA/35242390.c,0.1,true,test/ABC270/A/AC/35122661.c::main,56,43701,21779,7974,13821,2
test/ABC269/A/WA/35356573.c,0.1,false,test/ABC271/A/AC/35581631.c::main,1000,49245,22754,8244,18085,2
test/ABC270/A/WA/35094867.c,0.1,true,test/ABC265/A/AC/35026302.c::main,1000,93375,22320,8229,62682,2
test/ABC270/A/WA/35096720.c,0.1,true,test/ABC270/A/AC/35246426.c::main,381,90684,22403,8075,60043,2
test/ABC270/A/WA/35098023.c,0.1,false,test/ABC267/A/AC/34661016.c::main,1000,116418,21998,8569,85665,2
test/ABC270/A/WA/35103589.c,0.1,false,test/ABC270/A/AC/35185320.c::main,1000,88640,22497,8708,57249,2
test/ABC270/A/WA/35110132.c,0.1,true,test/ABC270/A/AC/35093554.c::main,353,103414,22521,9454,71227,2
test/ABC270/A/WA/35147761.c,0.1,false,test/ABC270/A/AC/35109527.c::main,1000,163856,22610,8455,132658,2
