target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time,tag
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC270/A/AC/35106730.c::main,178,75826,22519,8499,44668,0
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC270/A/AC/35118193.c::main,1000,80773,22320,8702,49570,0
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC265/A/AC/34211318.c::main,1000,80185,22540,8244,49247,0
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35420077.c::main,395,76545,22327,8532,45531,0
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC265/A/AC/34205259.c::main,1000,81452,22372,8574,50342,0
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC265/A/AC/34861406.c::main,446,76416,22358,8773,45054,0
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC267/A/AC/34537724.c::main,175,75643,22092,8563,44857,0
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35277402.c::main,97,68284,22404,8714,36983,0
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC265/A/AC/34239615.c::main,76,75638,22529,8756,44186,0
test/ABC265/A/WA/34216199.c,0.1,true,test/ABC271/A/AC/35458089.c::main,313,75057,22289,8274,44293,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC272/A/AC/35475469.c::main,1000,56307,22309,8044,25791,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC272/A/AC/35469261.c::main,1000,54939,21889,7945,24959,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC270/A/AC/35094196.c::output_array,1000,56870,22119,8078,26544,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC265/A/AC/34207186.c::main,1000,51214,21895,7942,21241,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC269/A/AC/34924532.c::main,1000,54524,22347,8191,23774,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC269/A/AC/34961183.c::main,1000,52714,22206,8293,22087,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC271/A/AC/35282885.c::main,1000,52783,22132,8069,22437,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC268/A/AC/34751991.c::main,1000,55852,21889,8202,25618,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC268/A/AC/34812138.c::main,1000,55983,22451,7754,25594,0
test/ABC265/A/WA/34216809.c,0.1,false,test/ABC269/A/AC/35085373.c::main,1000,56362,22284,8018,25901,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34201724.c::main,1000,55551,22295,8496,24592,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC268/A/AC/34759688.c::main,1000,51828,22608,8167,20921,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC266/A/AC/34427234.c::main,1000,56708,22305,8124,26147,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC269/A/AC/35026465.c::main,1000,56522,21919,8294,26179,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC265/A/AC/34207074.c::main,1000,53856,22149,8343,23156,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC270/A/AC/35399213.c::main,1000,55631,22141,8329,25000,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC270/A/AC/35097535.c::main,1000,54402,22712,8226,23314,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC272/A/AC/35468332.c::main,1000,49223,22280,8274,18524,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC270/A/AC/35144264.c::main,1000,55747,22291,8406,24882,0
test/ABC265/A/WA/34220909.c,0.1,false,test/ABC270/A/AC/35123123.c::main,1000,55566,22363,8462,24569,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/34959503.c::main,1000,78219,22188,8418,47448,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC271/A/AC/35284976.c::main,1000,80216,22300,8389,49371,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC269/A/AC/34937590.c::main,1000,78232,21987,8439,47654,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC271/A/AC/35284076.c::main,1000,79098,22388,8249,48322,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/35261378.c::main,1000,78014,22435,8160,47216,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC270/A/AC/35244405.c::main,1000,77134,22566,8387,46022,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC270/A/AC/35399213.c::main,1000,79635,22423,8259,48815,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC265/A/AC/34229857.c::main,1000,78019,22405,8399,47004,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC268/A/AC/35076243.c::main,1000,79180,22404,8326,48318,0
test/ABC265/A/WA/34222363.c,0.1,false,test/ABC267/A/AC/34580899.c::main,1000,78331,22375,8497,47311,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34199870.c::main,1000,146257,22305,8959,114805,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC272/A/AC/35470360.c::main,1000,150046,22396,8729,118783,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34326395.c::main,1000,147566,21745,8601,117064,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34203519.c::main,1000,149196,22349,8454,118240,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC270/A/AC/35158117.c::main,1000,147546,21653,8574,117159,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC266/A/AC/34374590.c::sort_dic,1000,148245,22395,8730,116941,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34589583.c::main,1000,148791,22500,8651,117485,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC272/A/AC/35479719.c::main,1000,147186,22582,8607,115793,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC265/A/AC/34275800.c::main,1000,148342,22026,8669,117509,0
test/ABC265/A/WA/34231867.c,0.1,false,test/ABC268/A/AC/35061342.c::main,1000,146629,22103,8483,115903,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC265/A/AC/34287781.c::main,1000,78822,22120,8603,47955,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC272/A/AC/35501312.c::main,1000,72297,22346,8568,41235,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC271/A/AC/35386798.c::main,1000,72860,22522,8757,41399,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35361689.c::main,1000,80819,22517,8547,49596,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35100640.c::main,1000,80329,22335,8539,49119,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC271/A/AC/35304526.c::main,1000,79078,22087,8792,47971,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35115224.c::main,1000,72483,22495,8509,41339,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35226755.c::main,1000,78392,22542,8636,47062,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC265/A/AC/34653579.c::main,1000,74410,22275,8581,43384,0
test/ABC265/A/WA/34240301.c,0.1,false,test/ABC270/A/AC/35115224.c::main,1000,79908,22470,8762,48505,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC265/A/AC/34217553.c::main,1000,124885,22273,8420,94051,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC271/A/AC/35273125.c::main,1000,125178,22400,8484,94142,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC272/A/AC/35471639.c::main,1000,125930,22445,8199,95153,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC270/A/AC/35361689.c::main,1000,127107,22409,8464,96068,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC268/A/AC/34729169.c::main,1000,126212,22278,8643,95105,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC270/A/AC/35119733.c::main,1000,126012,22030,8358,95468,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC265/A/AC/34203519.c::main,1000,125532,22097,8301,94969,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC271/A/AC/35420077.c::main,1000,124582,22204,8318,93905,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC272/A/AC/35469031.c::main,1000,125038,22522,8372,93997,0
test/ABC265/A/WA/34244947.c,0.1,false,test/ABC272/A/AC/35474397.c::main,1000,124880,22396,8353,93985,0
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC265/A/AC/34287781.c::main,1000,78794,22243,8389,47971,0
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC269/A/AC/34961183.c::main,1000,78896,22679,8496,47575,0
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC265/A/AC/34200822.c::main,1000,79101,21927,8505,48541,0
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC271/A/AC/35284076.c::main,1000,78357,22258,8564,47288,0
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC271/A/AC/35277402.c::main,1000,77376,22218,8697,46302,0
test/ABC265/A/WA/34283462.c,0.1,false,test/ABC265/A/AC/34203748.c::main,1000,71592,21842,8372,41224,0
